City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bethel,US,41.3712,-73.414,42.04,61,1,1.01,clear sky
1,Dikson,RU,73.5069,80.5464,-6.14,94,99,3.71,overcast clouds
2,Ushuaia,AR,-54.8,-68.3,34.05,91,7,3.89,clear sky
3,Rikitea,PF,-23.1203,-134.9692,73.76,65,25,9.42,scattered clouds
4,Punta Arenas,CL,-53.15,-70.9167,46.11,75,70,26.75,broken clouds
5,Evensk,RU,61.95,159.2333,21.04,82,100,16.15,overcast clouds
6,Bluff,NZ,-46.6,168.3333,52.07,83,99,2.13,overcast clouds
7,Busselton,AU,-33.65,115.3333,72.05,48,7,8.01,clear sky
8,Te Anau,NZ,-45.4167,167.7167,53.56,95,100,4.54,overcast clouds
9,Arraial Do Cabo,BR,-22.9661,-42.0278,73.11,94,100,16.02,overcast clouds
10,Kapaa,US,22.0752,-159.319,82.72,71,40,1.01,scattered clouds
11,Nanortalik,GL,60.1432,-45.2371,31.68,97,100,20.78,snow
12,Tiksi,RU,71.6872,128.8694,-13.11,97,97,6.24,overcast clouds
13,Ruteng,ID,-8.6136,120.4721,75.78,62,100,1.54,overcast clouds
14,Carnarvon,AU,-24.8667,113.6333,76.6,49,0,5.06,clear sky
15,Ygatimi,PY,-24.0833,-55.5,63.25,80,0,2.75,clear sky
16,Saint-Philippe,RE,-21.3585,55.7679,73.22,73,44,12.08,scattered clouds
17,Nikolskoye,RU,59.7035,30.7861,35.87,97,100,6.4,light snow
18,Vaini,TO,-21.2,-175.2,84.36,79,20,9.22,few clouds
19,Cape Town,ZA,-33.9258,18.4232,62.28,68,0,14.45,clear sky
20,Kotlas,RU,61.2611,46.6556,30.29,96,100,9.86,light snow
21,Maturin,VE,9.75,-63.1767,72.86,92,96,4.83,overcast clouds
22,Vilhena,BR,-12.7406,-60.1458,66.49,99,100,1.45,overcast clouds
23,Waingapu,ID,-9.6567,120.2641,86.58,67,100,7.23,overcast clouds
24,San Policarpo,PH,12.1791,125.5072,83.66,75,95,5.5,overcast clouds
25,Sokolo,ML,14.7328,-6.1219,79.07,17,40,10.02,scattered clouds
26,Hithadhoo,MV,-0.6,73.0833,82.38,76,94,21.61,overcast clouds
27,Bredasdorp,ZA,-34.5322,20.0403,57.27,79,86,9.98,light rain
28,Port Macquarie,AU,-31.4333,152.9167,78.76,69,100,3.85,overcast clouds
29,Cerro Largo,BR,-28.1486,-54.7381,59.86,63,0,5.88,clear sky
30,Port Elizabeth,ZA,-33.918,25.5701,59.07,82,60,3.22,light rain
31,Pimenta Bueno,BR,-11.6725,-61.1936,70.7,98,99,2.01,overcast clouds
32,Albany,US,42.6001,-73.9662,35.74,73,0,5.01,clear sky
